
2024/12/28 (12:55:24) | ===> btop++ v.1.4.0
2024/12/28 (12:55:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:45:07) | ===> btop++ v.1.4.0
2024/12/28 (13:45:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:47:36) | ===> btop++ v.1.4.0
2024/12/28 (13:47:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:47:45) | ===> btop++ v.1.4.0
2024/12/28 (13:47:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:48:45) | ===> btop++ v.1.4.0
2024/12/28 (13:48:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:48:53) | ===> btop++ v.1.4.0
2024/12/28 (13:48:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (22:24:59) | ===> btop++ v.1.4.0
2024/12/28 (22:24:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:35:57) | ===> btop++ v.1.4.0
2024/12/31 (01:35:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:40:03) | ===> btop++ v.1.4.0
2024/12/31 (01:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:41:45) | ===> btop++ v.1.4.0
2024/12/31 (01:41:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:44:14) | ===> btop++ v.1.4.0
2024/12/31 (01:44:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:44:35) | ===> btop++ v.1.4.0
2024/12/31 (01:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:45:16) | ===> btop++ v.1.4.0
2024/12/31 (01:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:45:23) | ===> btop++ v.1.4.0
2024/12/31 (01:45:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (01:45:26) | ===> btop++ v.1.4.0
2024/12/31 (01:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (09:06:31) | ===> btop++ v.1.4.0
2024/12/31 (09:06:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (09:07:48) | ===> btop++ v.1.4.0
2024/12/31 (09:07:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:21:57) | ===> btop++ v.1.4.0
2024/12/31 (10:21:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:39:58) | ===> btop++ v.1.4.0
2024/12/31 (10:39:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:40:00) | ===> btop++ v.1.4.0
2024/12/31 (10:40:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:41:59) | ===> btop++ v.1.4.0
2024/12/31 (10:41:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:42:04) | ===> btop++ v.1.4.0
2024/12/31 (10:42:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:44:02) | ===> btop++ v.1.4.0
2024/12/31 (10:44:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:44:18) | ===> btop++ v.1.4.0
2024/12/31 (10:44:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:48:33) | ===> btop++ v.1.4.0
2024/12/31 (10:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:48:35) | ===> btop++ v.1.4.0
2024/12/31 (10:48:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (12:28:03) | ===> btop++ v.1.4.0
2025/01/03 (12:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (18:37:45) | ===> btop++ v.1.4.0
2025/01/19 (18:37:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (17:39:32) | ===> btop++ v.1.4.0
2025/01/22 (17:39:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (21:06:05) | ===> btop++ v.1.4.0
2025/02/05 (21:06:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (18:16:23) | ===> btop++ v.1.4.0
2025/02/11 (18:16:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (19:32:57) | ===> btop++ v.1.4.0
2025/02/24 (19:32:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (16:56:03) | ===> btop++ v.1.4.0
2025/03/14 (16:56:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (17:04:21) | ===> btop++ v.1.4.0
2025/03/14 (17:04:21) | WARNING: Intel GPU: Failed to initialize PMU
