
2024/12/28 (12:55:24) | ===> btop++ v.1.4.0
2024/12/28 (12:55:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:45:07) | ===> btop++ v.1.4.0
2024/12/28 (13:45:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:47:36) | ===> btop++ v.1.4.0
2024/12/28 (13:47:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:47:45) | ===> btop++ v.1.4.0
2024/12/28 (13:47:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:48:45) | ===> btop++ v.1.4.0
2024/12/28 (13:48:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:48:53) | ===> btop++ v.1.4.0
2024/12/28 (13:48:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (22:24:59) | ===> btop++ v.1.4.0
2024/12/28 (22:24:59) | WARNING: Intel GPU: Failed to initialize PMU
